"ID","Treatment","3a7b","3b7a12a","a-MCA","b-MCA","CA","DCA","HDCA","LCA","Tauro 3a12b","Tauro 3a6a","T-3a7k","T-a-MCA","T-b-MCA","T-o-MCA","TCDCA","TCA","TDCA","TLCA"
1,"Chow8",0.002472003,0.000812961,0.801322492,2.580735198,3.85050516,0.019805266,0.002835621,0.001164936,0.021410569,0.038318003,0.050084693,1.876745748,3.605745116,3.515805635,3.5530045,5.659810511,0.207461596,0.00401279
2,"Chow8",0.001467807,0.000346056,0.264566808,0.469328721,1.928043607,0.012220216,0.001302162,6.3278e-05,0.013074239,0.054556406,0.053646606,2.152387326,3.11848801,3.782544702,3.284808978,7.994265071,0.309224747,0.004790164
3,"Chow8",0.001164977,0.000291277,0.16215685,1.458720631,2.376066303,0.157382116,0.0017077,0.001193008,0.021473713,0.028443951,0.031139428,0.92119465,3.435217367,2.332689617,1.499642039,4.177190273,0.913054194,0.003397439
4,"Chow8",0.003427147,0.000367849,0.517334843,2.866849263,3.314479636,0.045358452,0.003127221,0.001318951,0.011575002,0.046144261,0.0473264,1.671937702,4.259269307,4.758235766,2.44764079,3.91118359,0.262537009,0.003887684
9,"Chow8",0.002463481,0.000653271,0.875161488,5.42654301,4.070127082,0.026401917,0.003303974,0.001804267,0.016875941,0.036616601,0.035126293,1.584751674,5.221922807,3.9975689,1.099218626,3.478109779,0.130203633,0.002838499
10,"Chow8",0.000290707,0.001142573,1.297620375,11.56415051,6.013622682,0.076123064,0.007663332,0.000530773,0.008539496,0.029825315,0.023989541,1.025395781,3.931647879,3.088474304,0.813182459,2.647535152,0.260073078,0.001432608
11,"Chow8",0.00235152,0.000952721,1.330472493,3.142516145,5.172784268,0.030036279,0.007161851,0.000711379,0.017701176,0.048120424,0.033108582,1.339005593,1.881371335,2.916401369,1.380242562,4.297569991,0.182003904,0.002987547
12,"Chow8",0.002266703,0.00061046,0.823466204,5.907272354,4.202855037,0.031676898,0.003614609,0.002963011,0.009629484,0.026062168,0.01818342,1.081409659,3.326923557,2.988606949,1.155496429,3.346503454,0.16131666,0.001921892
17,"Chow8",0.003538394,9.51894e-05,0.017048003,0.164027576,0.14331018,1.01773e-05,0.000450176,0.00129425,0.011265322,0.03006268,0.075566096,1.87884485,7.904188317,4.314554681,3.091286199,8.744224631,0.361298946,0.00216484
18,"Chow8",0.003364918,0.001106094,1.546188752,8.391496365,5.901621489,0.095698968,0.006967503,0.003028379,0.00316935,0.0297399,0.027429569,1.104285259,2.845258791,2.943522936,0.746280497,2.601541114,0.317891267,0.002686361
19,"Chow8",0.006556396,0.000653562,0.524430346,2.180465294,3.892307781,0.022812692,0.003639266,0.002059405,0.011111175,0.046195242,0.024782988,1.331391805,2.444537891,2.569144786,0.916319109,5.284386096,0.105635293,0.00149681
20,"Chow8",0.002181485,0.000861521,0.97205498,3.804482182,2.99976232,0.054303657,0.005122022,0.002050055,0.004695986,0.041527498,0.034617327,1.068278543,1.878498571,2.656784502,0.688388901,3.156020202,0.278328786,0.002805702
49,"WD2",0.000794823,0.000656012,0.257359179,4.47711011,1.71822188,0.02046053,0.000529387,0.000237075,0.010484897,0.011561169,0.015591387,1.695638516,14.00448097,3.142425956,4.147782976,6.66600412,0.412443227,0.003342698
50,"WD2",0.001567271,0.000457902,0.205049554,2.910202914,1.145879811,0.010654222,0.000628747,0.000768575,0.008423122,0.01681568,0.018215323,1.968400937,12.70996323,3.901861535,5.350993582,8.16088498,0.517022278,0.003185827
51,"WD2",0.000112879,0.000422468,0.147545924,2.491903672,0.765603087,0.011970233,0.000552949,0.001368789,0.009345359,0.020562492,0.017510002,1.894739086,15.695568,3.282606211,4.688993945,7.31850328,0.439847909,0.003189034
54,"WD2",0.001556072,0.00061342,0.314277663,5.997355613,1.198326662,0.019961803,0.000642059,0.001471437,0.009680183,0.010669186,0.013848851,1.636801728,15.76935889,2.191117479,4.057825617,5.847621556,0.623274884,0.003129807
55,"WD2",0.00106243,0.00038564,0.072346072,1.37906989,0.464404231,0.001471413,0.000433632,0.000276916,0.002553739,0.00612888,0.008199878,1.237887167,13.14974688,2.045411446,2.673874708,3.76803009,0.23335229,0.001711696
57,"WD2",0.001018488,0.000286781,0.149762418,3.024876158,0.398841031,0.000974814,0.00052019,0.000265609,0.003729477,0.00835693,0.013443199,1.403972399,19.3516056,1.765903088,3.371012269,4.001288473,0.22126527,0.001612558
58,"WD2",0.00201284,0.000266965,0.095373414,1.573988411,0.236245232,1.6238e-06,0.000391783,0.000371883,0.004909636,0.010449629,0.014952464,1.877057293,21.25638949,1.601862368,4.347858315,4.836063513,0.293606809,0.002188586
59,"WD2",0.001752364,7.06513e-05,0.118231427,1.976693257,0.279901134,0.003853418,0.000529791,0.001197485,0.006781419,0.011059037,0.017977736,1.675147982,14.39462493,1.746545317,3.076984712,5.190058351,0.717552535,0.002847175
60,"WD2",0.001041932,0.000810797,0.305340418,5.107340676,1.178971067,0.031292924,0.000640112,0.002538507,0.008716471,0.010454064,0.018676589,2.265006749,20.80116717,2.350981359,5.973504263,5.892167814,0.544671636,0.003762037
37,"WD4",0.001919182,0.00029916,0.047109822,0.398491643,0.160937512,6.2645e-06,0.000457509,0.001177872,0.012754397,0.045169926,0.020109115,3.156082962,11.4213311,3.053466695,7.791188495,10.45256446,1.097627447,0.007692487
38,"WD4",0.000213284,0.000208472,0.076088602,0.511791093,0.250168239,0.000655888,0.000554437,0.000592105,0.010326151,0.071132492,0.017724504,2.643889983,8.28671238,4.15284869,5.937941655,7.891682454,0.766072544,0.005399168
39,"WD4",0.00223922,0.000535202,0.156276086,2.774021755,1.368093465,0.010365359,0.000682686,0.001314928,0.005913444,0.021199217,0.011511098,1.407808475,14.79623666,5.041148306,2.792766061,7.992538092,0.362236502,0.002827294
40,"WD4",7.85349e-06,0.000140857,0.04985426,0.581328732,0.182299268,0.000267054,0.000437164,0.001353614,0.009501195,0.026827008,0.019825074,2.62628796,11.42964024,1.939744483,6.259211525,9.566280865,0.928017606,0.005330306
41,"WD4",0.002553289,0.000393813,0.388953678,3.33403537,1.43749603,0.026565119,0.000968561,0.000982059,0.00589135,0.021751775,0.016840417,2.102158529,9.735101145,3.192612544,4.536585174,5.0405721,0.62493061,0.004591104
42,"WD4",0.00034803,0.000693884,0.032787659,0.509945162,0.079858686,3.9973e-06,0.000446822,0.000276866,0.011236644,0.025712818,0.01452261,2.596022668,10.15069059,4.020064844,4.978862181,7.448069073,0.508303906,0.003756201
43,"WD4",0.000208611,0.000577982,0.317338639,5.375629167,1.042735222,0.036174843,0.000858426,0.0006465,0.007037571,0.020088843,0.014260082,1.802826882,13.31150937,3.060554511,2.704827225,5.297852531,0.787404413,0.002666872
44,"WD4",0.000980584,0.000630796,0.405001533,5.633841039,1.921797918,0.047588607,0.001064801,0.002655885,0.014206633,0.024267242,0.013409256,2.046855057,10.69079578,2.093662169,3.352746929,5.42881961,0.734564007,0.004986457
45,"WD4",0.001005355,0.000309451,0.216168573,3.988182081,1.369886761,0.021242826,0.000629004,0.001040925,0.004444952,0.015435035,0.012372893,1.941054553,13.81062376,3.483790332,3.065270373,6.469489471,0.559200082,0.002808172
47,"WD4",0.003044351,0.000753944,0.30448812,5.890192551,1.15425895,0.020435041,0.000821063,0.001485193,0.004612333,0.014268883,0.013662267,2.002378447,15.41265422,4.475173177,3.219387897,5.997687766,0.396972968,0.002503168
48,"WD4",0.000274921,0.000222189,0.054309408,0.73488188,0.307597728,0.001424504,0.000553763,0.000394745,0.004362443,0.017967513,0.012888059,2.131188169,12.73027652,4.680135245,3.728380561,8.164237154,0.468881336,0.001912176
25,"WD6",0.002058126,0.000761061,0.683862211,3.740866709,2.202426888,0.044381982,0.001417973,0.001774661,0.006585326,0.029597044,0.015740715,2.399594486,6.668023268,3.997867328,6.130170581,6.690082899,0.734886403,0.006133945
26,"WD6",0.000403691,0.000362275,0.099517753,0.699627208,0.322488487,0.002807264,0.000523654,0.00038323,0.009492657,0.031157047,0.019635392,2.424385966,8.658941384,3.809403143,6.484126703,7.597479423,0.661046563,0.005561497
27,"WD6",0.000564201,0.000266965,0.136229773,1.294855712,1.029198129,0.017220776,0.000875393,0.001006181,0.008414835,0.034158966,0.016969515,1.929880659,7.317112022,4.966463122,4.801923534,6.713145807,0.523717572,0.003580139
28,"WD6",0.000938336,0.000160181,0.066688629,0.592301692,0.474698703,0.003716889,0.000426365,0.000454457,0.013013912,0.037003313,0.018084492,2.702340452,9.961414099,3.290420452,7.273173933,11.12660919,0.781163909,0.006087006
29,"WD6",0.000881933,0.000459179,0.432506902,2.543680997,1.848572873,0.036872267,0.001260185,0.000987022,0.015372657,0.037933355,0.020946299,3.838145123,9.688848406,5.425194208,9.173592301,9.679263403,0.846149583,0.006008624
30,"WD6",0.001256402,0.00053164,0.301677313,2.649461443,1.862228754,0.047525708,0.001428078,0.002652951,0.006708764,0.030293574,0.011896895,1.844827677,5.9114454,3.267728443,3.899541673,6.346070578,0.584343637,0.004103714
31,"WD6",0.003355019,0.000531889,0.311044082,2.071268009,1.410691166,0.023356045,0.000995861,0.000836809,0.007834036,0.030559911,0.014676539,1.900002052,5.642409836,2.61867747,4.748555962,6.092765041,0.663079211,0.005214897
32,"WD6",0.004192039,0.00015797,0.058089464,0.440024271,0.198770745,5.6823e-06,0.000433025,0.001078126,0.017133851,0.037175929,0.020795925,3.233365927,7.961019372,3.928684275,8.769399839,11.7259626,0.615361608,0.00447075
33,"WD6",0.002461367,0.000112507,0.280402295,2.063170386,0.944795325,0.015343693,0.000724295,0.00169328,0.017429521,0.028073081,0.020621705,3.216722461,11.02821639,2.855341874,5.359756441,7.888026347,0.497308385,0.003899099
34,"WD6",0.000800029,0.000178213,0.125394362,0.953612801,0.864074351,0.007612454,0.000552315,0.000244309,0.01290391,0.021230108,0.011711517,1.620629311,6.597772741,2.605736816,3.401844733,8.104523753,0.508868225,0.00277633
35,"WD6",0.000992765,0.000109728,0.059344627,0.457491267,0.335077767,6.192e-06,0.000476204,0.000782935,0.010680699,0.025791199,0.01167151,1.765254465,7.120578564,3.448237247,2.838180238,8.091601584,0.383298478,0.001832025
5,"WD8",0.002937885,0.000389388,0.321679533,2.483423143,1.276983848,0.011328018,0.000672926,0.000367696,0.009296234,0.017435795,0.017186144,2.423586942,11.2350834,3.444270804,6.045548124,7.897635809,0.63671483,0.004101758
6,"WD8",0.000406669,0.000541417,0.445478844,3.033786037,2.274937925,0.034371407,0.000789486,0.00195351,0.019425887,0.019766031,0.013435907,2.506357534,10.16695242,3.09282791,5.414561335,9.849073147,0.971493728,0.005599055
7,"WD8",0.001009378,0.000365702,0.302937828,2.165944995,1.397064917,0.021334006,0.000844232,0.001258573,0.018447636,0.028212996,0.012490571,2.615958127,9.45670874,3.046273118,5.83253084,9.567413174,0.640255997,0.005006961
8,"WD8",0.000115831,0.000338328,0.282983996,2.707736599,1.185879773,0.012138874,0.00072886,0.000198354,0.008127865,0.015727222,0.011625527,1.348274318,6.831116745,1.684780738,3.319527755,4.69299588,0.60817149,0.00286834
13,"WD8",0,0.000315678,0.251577335,4.388031793,1.008864937,0.019028789,0.000900949,0.001983013,0.006636022,0.023765799,0.012778946,2.136457672,15.00894035,3.341118831,4.507059399,5.255618318,0.36242216,0.002743152
14,"WD8",0.003084544,0.000291331,0.096157298,1.665394584,0.284884002,0.00509774,0.00047405,0.000973331,0.007916976,0.024685104,0.01683543,2.604268729,15.91968105,2.290976817,5.697456948,9.14855926,0.588290394,0.004020682
15,"WD8",0.003831825,0.000282149,0.178081885,1.718474176,0.911604692,0.009152169,0.00059382,0.000982749,0.02032571,0.02405216,0.016525949,2.664130795,11.73177609,2.657261484,7.05811178,11.66088165,0.865034842,0.005258299
16,"WD8",8.46016e-05,0.000278019,0.15415335,1.792242601,1.04805917,0.022174288,0.00088214,0.000400107,0.013698676,0.035747238,0.014452629,2.267497392,10.82218571,3.094096167,5.233005971,8.80300242,0.929160184,0.006058309
21,"WD8",0.000602411,0.000398517,0.197935756,1.326083223,1.00917894,0.011523123,0.000808976,0.001016184,0.008122532,0.0387228,0.015134617,2.145120344,5.192157881,2.891448534,4.940825558,9.697149349,0.895540564,0.005082117
22,"WD8",0.000570046,0.000167148,0.0507498,0.546281203,0.595070923,0.003636599,0.000507916,0.000972686,0.006186525,0.031252077,0.013972467,2.31109011,7.312469952,3.191744627,5.727951233,14.15057531,0.719263752,0.003434886
23,"WD8",0.002976725,0.000569736,0.132035314,6.556751118,1.995718771,0.005508679,0.000469244,0.001031983,0.002200149,0.00333813,0.003947644,0.927047023,15.48483589,2.330842148,1.229218959,5.357724176,0.12304453,0.001019696
24,"WD8",0.000606148,0.000486571,0.14894952,1.994833413,2.304406845,0.015842543,0.00072578,0.001166185,0.005673654,0.025745398,0.009227052,2.017560279,6.958611187,2.769045336,3.394056987,10.09228628,0.480640831,0.003251021
